text,sentiment
@chrishasboobs AHHH I HOPE YOUR OK!!! ,neg
"@misstoriblack cool , i have no tweet apps  for my razr 2",neg
"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",neg
School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,neg
upper airways problem ,neg
Going to miss Pastor's sermon on Faith... ,neg
on lunch....dj should come eat with me ,pos
@piginthepoke oh why are you feeling like that? ,neg
gahh noo!peyton needs to live!this is horrible ,neg
@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,pos
@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,pos
to sum up my day in one word ......... kackered! ,pos
@k9wkj Great minds think alike ,pos
Is Poorly and in bed! ,neg
"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",pos
"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",pos
"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",pos
@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,neg
"ugh, morning's off to a rough start ",neg
just bit my tongue ,neg
@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,neg
Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,pos
"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",pos
Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,pos
"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",neg
i don't feel good ,neg
@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,pos
This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,neg
my car is poorly ,neg
im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,pos
No woooooork tomorrrow&amp;tuesday ,pos
Flatmates are still in the bathroom! ARGGH!! ,neg
I'm having an allergic reaction to silver earings ,neg
"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",neg
"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",neg
what is with msn making me click the wrong people. garrrrr ,neg
Too full of fizz but not enough cider ,neg
How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,pos
Time to sleep... Long day again tomorrow ,neg
Hahaha blakk is reckkkin it. :p throwwwwwed. ,pos
Cubs game today! My first ever ,pos
@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,pos
@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,pos
eating cha with eric ,pos
"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",pos
My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,neg
"@Konstantine I said &quot;scar,&quot; sweetie. ",pos
@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,neg
FCK-Brï¿½ndby 4-0! ,pos
@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,neg
@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,pos
"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",pos
@ElleChanel want to shoot...but i'm not in charlotte .. ,neg
@sephrenia1982 good work ,pos
@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,pos
@CatholicChicks hate bein on the phone that long ,neg
"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",pos
@melbgirl It means the same to us!  #GoCats,pos
"beach this morning,bbq this afternoon. Back to school/work 2morro ",neg
@joshlam and you are how old?? REALLY?!? ,pos
@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,neg
Watched Crank 2.... awesome ,pos
@TheUncoolest ,pos
Night in with the rock star...  ,pos
@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,pos
first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,pos
"my tooth is sving, and I cannot see my dentist for a week ",neg
cant sleep got heartburn really bad ,neg
Off to Whipsnade  Hope it's dry,pos
Going To Bed ...My Ankle Hurts ,neg
hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,neg
I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,neg
"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",pos
Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,pos
"i miss him, i cant wait to see him, im happy ",pos
@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,neg
"@mithss mourniiiiiiing eh, morniiing!!! ",pos
@pamelaong Glad the blog helped ,pos
Awesome pumpkin! Your famous ,pos
"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ",neg
@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,pos
"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",neg
Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,pos
"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ",pos
at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,neg
I am so hungry  I hate not eating breakfast!,neg
ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,neg
@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,pos
Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,neg
@ItsNeet 100%.. its like getting an A for all your classes.. ,pos
"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ",pos
Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,pos
i have find my someone ,pos
@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,pos
it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,pos
I'm obsessed with twitting  haha,pos
One interlock down one to go ,pos
"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ",neg
I miss Zack so much these days ,neg
@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,neg
"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",pos
